업종명,인허가일자,업소명,소재지(도로명),소재지(지번),업태명,데이터기준일
일반음식점,2019-10-10,사랑도회센타,"대전광역시 대덕구 신탄진동로7번길 7, 1층 (신탄진동)",대전광역시 대덕구 신탄진동 152-12 ,한식,2024-05-20
일반음식점,2019-10-11,가인,"대전광역시 대덕구 계족산로17번길 108, 1층 (법동)",대전광역시 대덕구 법동 198-10 ,한식,2024-05-20
일반음식점,2019-10-14,꾸브라꼬숯불두마리치킨신탄진점,"대전광역시 대덕구 신탄진동로 11, 1층 (신탄진동)",대전광역시 대덕구 신탄진동 154-15 ,분식,2024-05-20
일반음식점,2019-10-16,호시타코야끼,"대전광역시 대덕구 신탄진로810번길 6, 1층 (신탄진동)",대전광역시 대덕구 신탄진동 143-1 ,일식,2024-05-20
일반음식점,2019-10-17,연탄공장,"대전광역시 대덕구 대덕대로1458번길 45, 1층 (목상동)",대전광역시 대덕구 목상동 156-1 ,식육(숯불구이),2024-05-20
일반음식점,2019-10-17,아주매운공주칼국수쭈꾸미구이,"대전광역시 대덕구 송촌북로 10, 1층 (송촌동)",대전광역시 대덕구 송촌동 468-10 ,한식,2024-05-20
일반음식점,2019-10-28,덮다 송촌점,"대전광역시 대덕구 송촌북로16번길 19, 1층 (송촌동)",대전광역시 대덕구 송촌동 455-8 ,한식,2024-05-20
일반음식점,2019-10-29,티키타카,"대전광역시 대덕구 신탄진로232번길 16, 2층 (와동)",대전광역시 대덕구 와동 369-2 ,호프/통닭,2024-05-20
일반음식점,2019-11-04,와타티타,"대전광역시 대덕구 쌍청당로 12, 1층 (중리동)",대전광역시 대덕구 중리동 501-11 ,기타,2024-05-20
일반음식점,2019-11-04,연화네,"대전광역시 대덕구 중리로63번길 12, 1층 (중리동)",대전광역시 대덕구 중리동 367-18 ,한식,2024-05-20
일반음식점,2019-11-11,중리회포차2,"대전광역시 대덕구 중리로21번길 6-14, 1층 (중리동)",대전광역시 대덕구 중리동 400-13 ,횟집,2024-05-20
일반음식점,2019-11-12,우리맥주,"대전광역시 대덕구 신탄진동로23번길 41, 1층 (신탄진동)",대전광역시 대덕구 신탄진동 141-19 ,호프/통닭,2024-05-20
일반음식점,2019-11-20,황금분식,"대전광역시 대덕구 아리랑로113번길 44, 1층 (읍내동)",대전광역시 대덕구 읍내동 483-69 ,분식,2024-05-20
일반음식점,2019-11-21,준짬뽕,"대전광역시 대덕구 덕암로125번안길 60, 1층 (덕암동)",대전광역시 대덕구 덕암동 70-3 ,중국식,2024-05-20
일반음식점,2019-11-22,치킨신드롬,"대전광역시 대덕구 비래동로16번길 42, 1층 101호 (비래동)",대전광역시 대덕구 비래동 142-2 ,호프/통닭,2024-05-20
일반음식점,2019-11-26,엘샤다이,"대전광역시 대덕구 오정로 38, 2층 (오정동)",대전광역시 대덕구 오정동 379-1 ,한식,2024-05-20
일반음식점,2019-12-02,한마음정육식당신탄진점,"대전광역시 대덕구 신탄진로 660, 1(1,2층),2(1층)동 (평촌동)","대전광역시 대덕구 평촌동 226-9 1동(1,2층) 2동(1층) ",한식,2024-05-20
일반음식점,2019-12-02,체리빈스,"대전광역시 대덕구 한밭대로 1158, 한밭캠퍼스빌 1층 105호 (중리동)",대전광역시 대덕구 중리동 251-1 한밭캠퍼스빌 ,기타,2024-05-20
일반음식점,2019-12-04,배부르네,"대전광역시 대덕구 신일동로17번길 5 (주)테크노시티 111호, 112호 1층 (신일동)",대전광역시 대덕구 신일동 1684-39 테크노시티 ,기타,2024-05-20
일반음식점,2019-12-06,큐호프,"대전광역시 대덕구 계족산로81번길 11, 송촌동근린생활시설 5층 501호 (송촌동)",대전광역시 대덕구 송촌동 475-4 송촌동근린생활시설 ,호프/통닭,2024-05-20
일반음식점,2019-12-10,카페 앤 디저트 에센셜에이치 중리동점,"대전광역시 대덕구 한밭대로 1097, 1층 (중리동)",대전광역시 대덕구 중리동 438-8 ,기타,2024-05-20
일반음식점,2019-12-11,정박사,"대전광역시 대덕구 신일동로17번길 5, 테크노시티 1층 105,106호 (신일동)",대전광역시 대덕구 신일동 1684-39 테크노시티 ,한식,2024-05-20
일반음식점,2019-12-17,고기는먹고다니니,"대전광역시 대덕구 중리로31번길 5, 1층 (중리동)",대전광역시 대덕구 중리동 400-3 ,식육(숯불구이),2024-05-20
일반음식점,2019-12-17,엑스오엑스오(XOXO),"대전광역시 대덕구 계족산로36번길 59, 1층 (송촌동)",대전광역시 대덕구 송촌동 483-11 ,기타,2024-05-20
일반음식점,2019-12-17,7번가피자송촌점,"대전광역시 대덕구 계족산로81번길 107, 1층 (송촌동)",대전광역시 대덕구 송촌동 448-3 ,기타,2024-05-20
일반음식점,2019-12-17,본가진맑은곰탕,"대전광역시 대덕구 대덕대로1458번길 3, 1층 (목상동)",대전광역시 대덕구 목상동 148-1 ,한식,2024-05-20
일반음식점,2019-12-23,교촌치킨법동점,"대전광역시 대덕구 중리로 48, 1층 (중리동)",대전광역시 대덕구 중리동 385-26 ,한식,2024-05-20
일반음식점,2019-12-27,혜화동돈까스극장신탄관평점,"대전광역시 대덕구 덕암북로 37, A동 1층 (석봉동)",대전광역시 대덕구 석봉동 314-1 ,경양식,2024-05-20
일반음식점,2019-12-31,한음푸드,"대전광역시 대덕구 중리로75번길 5, 1층 (중리동)",대전광역시 대덕구 중리동 367-24 ,한식,2024-05-20
일반음식점,2019-10-15,순살만공격,"대전광역시 대덕구 석봉로58번안길 89, 1층 (석봉동)",대전광역시 대덕구 석봉동 316-1 ,호프/통닭,2024-05-20
일반음식점,2019-06-21,하린이네식당,"대전광역시 대덕구 비래동로15번길 47, B동 1층 101호 (비래동, 전원연립)",대전광역시 대덕구 비래동 122-6 전원연립 B동 101호,한식,2024-05-20
일반음식점,2019-05-10,띵동김밥,"대전광역시 대덕구 비래동로15번길 2, B동 101호 (비래동)",대전광역시 대덕구 비래동 127-8 B동 101호,분식,2024-05-20
일반음식점,2020-01-08,응급실국물떡볶이대전한남대점,"대전광역시 대덕구 홍도로 139, 1층 105호 (중리동)",대전광역시 대덕구 중리동 237-5 105호,한식,2024-05-20
일반음식점,2020-01-08,이차돌대전송촌점,"대전광역시 대덕구 송촌북로36번길 18, 1층 (송촌동)",대전광역시 대덕구 송촌동 450-4 ,한식,2024-05-20
일반음식점,2020-01-14,린수푸드,"대전광역시 대덕구 석봉북로 26, 1층 (석봉동)",대전광역시 대덕구 석봉동 194-21 ,한식,2024-05-20
일반음식점,2020-01-20,오레시피대전한남대점,"대전광역시 대덕구 홍도로 107, 1층 (중리동)",대전광역시 대덕구 중리동 243-10 ,한식,2024-05-20
일반음식점,2020-01-21,세천옥,"대전광역시 대덕구 우암동로7번길 2, 1층 (비래동)",대전광역시 대덕구 비래동 132-30 ,한식,2024-05-20
일반음식점,2020-01-22,육회왕자연어공주중리점,"대전광역시 대덕구 중리남로 22, 1층 (중리동)",대전광역시 대덕구 중리동 173-11 ,한식,2024-05-20
일반음식점,2020-01-29,해바라기국시,"대전광역시 대덕구 한밭대로1130번길 15, 1층 (중리동)",대전광역시 대덕구 중리동 235-1 ,한식,2024-05-20
일반음식점,2020-01-29,달아한잔,"대전광역시 대덕구 대덕대로1470번길 27, 1층 103호 (목상동, 상록수아파트)",대전광역시 대덕구 목상동 185-1 상록수아파트 ,한식,2024-05-20
일반음식점,2020-01-29,장어나라,"대전광역시 대덕구 중리로7번길 6-20, 1층 (중리동)",대전광역시 대덕구 중리동 401-17 ,한식,2024-05-20
일반음식점,2020-01-30,명가춘천닭갈비,"대전광역시 대덕구 송촌북로20번길 30, 1층 (송촌동)",대전광역시 대덕구 송촌동 456-3 ,호프/통닭,2024-05-20
일반음식점,2020-01-30,오늘내일도시락,"대전광역시 대덕구 상서당1길 25, 1층 (상서동)",대전광역시 대덕구 상서동 326-5 ,한식,2024-05-20
일반음식점,2020-01-31,광장굴칼국수,"대전광역시 대덕구 석봉로57번길 40, 1동 1층 (석봉동)",대전광역시 대덕구 석봉동 416-25 ,한식,2024-05-20
일반음식점,2020-02-04,소소바리,"대전광역시 대덕구 장동로 263, 1층 (장동)",대전광역시 대덕구 장동 808-4 ,한식,2024-05-20
