r_name,address,소재지지번주소,classification,영업장면적
광평 평양냉면갈비 강남점,"서울특별시 서초구 서운로 135, 1층,2층 (서초동)","서울특별시 서초구 서초동  1322번지 11호  1층,2층",한식,529.1
평안도식당 교대지점,"서울특별시 서초구 법원로2길 14, 1층 (서초동)",서울특별시 서초구 서초동  1715번지 2호  1층,한식,99.1
선화의 고기,"서울특별시 서초구 서초대로24길 9, 1층 (방배동)",서울특별시 서초구 방배동  936번지 4호  1층,한식,111.54
사쿠,"서울특별시 서초구 나루터로15길 11, 대영빌딩 1층 (잠원동)",서울특별시 서초구 잠원동  14번지 9호  대영빌딩 1층,한식,79.38
명인등심,"서울특별시 서초구 서초대로 87, 1층 (방배동)",서울특별시 서초구 방배동  872번지 4호  1층,한식,96.66
U-소백산,"서울특별시 서초구 강남대로8길 36, (양재동, (지하1층,지상2층))","서울특별시 서초구 양재동  346번지  (지하1층,지상2층)",한식,578.32
스시타노,"서울특별시 서초구 서래로5길 30, 2층 (반포동)",서울특별시 서초구 반포동  107번지 32호  2층,한식,165.64
시골집,"서울특별시 서초구 반포대로10길 7, 1층 (서초동)",서울특별시 서초구 서초동  1459번지 11호  1층,한식,147.72
서관면옥 교대본점,"서울특별시 서초구 서초대로56길 11, 1층 (서초동)",서울특별시 서초구 서초동  1675번지 5호  1층,한식,152.24
바른식 시골보쌈 앤 옹심이,"서울특별시 서초구 서초대로52길 17, 1층,2층 (서초동)",서울특별시 서초구 서초동  1658번지 1호  1층 2층,한식,332.85
원할머니 보쌈 족발 박가 부대찌개 반포점,"서울특별시 서초구 서초중앙로 238, 삼호가든쇼핑센타 지하중층 (반포동)",서울특별시 서초구 반포동  30번지 25호  삼호가든쇼핑센타 지하중층,한식,104
교대 평상집,"서울특별시 서초구 서초대로50길 24, 청화빌딩 3층 (서초동)",서울특별시 서초구 서초동  1571번지 18호  3층,한식,232.88
아기다람쥐,"서울특별시 서초구 서초대로 3-4, 1층 109-1호 (방배동, 방배디오슈페리움Ⅰ)",서울특별시 서초구 방배동  3001번지 2호  방배디오슈페리움Ⅰ 제1층 제109-1호,한식,113.03
공리,"서울특별시 서초구 반포대로7길 7, 1층 (서초동)",서울특별시 서초구 서초동  1462번지 1호  1층,중국식,108.13
만강홍 교대본점,"서울특별시 서초구 서초중앙로22길 46, 1층 (서초동)",서울특별시 서초구 서초동  1669번지 8호  1층,중국식,198
강남역 모범갈빗살,"서울특별시 서초구 서초대로73길 40, 104호 (서초동, 강남오피스텔)",서울특별시 서초구 서초동  1308번지 25호  강남오피스텔-104,한식,158.62
개성손만두요리전문점 방배점,"서울특별시 서초구 동광로19길 5, 1층 (방배동)",서울특별시 서초구 방배동  793번지 21호  외 1필지 1층,한식,112.2
(주)댓짱돈까스,"서울특별시 서초구 방배로6길 13, 파크에비뉴빌딩 1층 (방배동)",서울특별시 서초구 방배동  1021번지 14호  파크에비뉴빌딩 1층,한식,216.09
인덕원비빔국수,"서울특별시 서초구 남부순환로 2656, 1,2층 (양재동)","서울특별시 서초구 양재동  2번지 36호  1,2층",한식,285.51
한지박,"서울특별시 서초구 고무래로 10-6, (반포동)",서울특별시 서초구 반포동  58번지 6호  ,한식,86.4
영동회관,"서울특별시 서초구 강남대로30길 28, 103호 (양재동)",서울특별시 서초구 양재동  17번지 1호  -103,한식,126.93
담소사골순대 이수역점,"서울특별시 서초구 서초대로 12, 101동 101호, 102호 (방배동, 세양아르비채)","서울특별시 서초구 방배동  421번지 1호  세양아르비채 101호, 102호",한식,84.69
강촌식당 서초점,"서울특별시 서초구 효령로 316-1, 1층 (서초동)",서울특별시 서초구 서초동  1443번지 4호  1층,한식,131.6
우주,"서울특별시 서초구 동광로 106, 2층 (방배동)",서울특별시 서초구 방배동  807번지 9호  2층,한식,233
진대감 강남역 삼성타운점,"서울특별시 서초구 서초대로78길 50, (서초동,우영빌딩 2층)",서울특별시 서초구 서초동  1330번지 13호  우영빌딩 2층,한식,334.07
영양센타 서초역점,"서울특별시 서초구 명달로 130, 1층 (서초동)",서울특별시 서초구 서초동  1505번지 6호  ,호프/통닭,208.8
Kelly(켈리),"서울특별시 서초구 방배로42길 20, 1층 (방배동)",서울특별시 서초구 방배동  773번지 5호  1층,경양식,66
소공동뚝배기집 교대점,"서울특별시 서초구 서초대로54길 32, 지하1층 (서초동, 추호주택 )",서울특별시 서초구 서초동  1659번지 17호  추호주택 지하1층,한식,124.2
돈선생 방배점,"서울특별시 서초구 효령로31길 52, 1층 (방배동)",서울특별시 서초구 방배동  924번지 7호  1층,한식,100.47
서초 해물찜,"서울특별시 서초구 서초중앙로24길 27, 지하1층 지106,107호 (서초동, 지파이브센트럴프라자)","서울특별시 서초구 서초동  1685번지 8호  지파이브센트럴프라자 B106호, 107호",한식,146.85
원조마산콧털네아구찜,"서울특별시 서초구 신반포로47길 118, A동 1층 (잠원동)",서울특별시 서초구 잠원동  20번지 1호  근생빌딩 A동 1층,한식,165
만발,"서울특별시 서초구 서초대로29길 32, 1층 (방배동)",서울특별시 서초구 방배동  878번지 1호  1층,한식,142.23
이자카야 나무  (서초),"서울특별시 서초구 서초대로75길 23, 지하1층~지상4층 (서초동)",서울특별시 서초구 서초동  1307번지 11호  지하1층~지상4층,일식,788.08
방배 송이족발,"서울특별시 서초구 방배중앙로 166, 1층 (방배동)",서울특별시 서초구 방배동  777번지 5호  1층,한식,66.7
The Park(뷔페식당),"서울특별시 서초구 바우뫼로12길 70, 2층 (양재동, 더케이서울호텔)",서울특별시 서초구 양재동  202번지  외 3필지 더케이서울호텔 2층,경양식,499.37
동지섣달 꽃본듯이,"서울특별시 서초구 원터6길 3, (원지동,지상 2층)",서울특별시 서초구 원지동  419번지  지상 2층,한식,77.4
배키욘방 교대점,"서울특별시 서초구 서초대로46길 16, 1층 (서초동)",서울특별시 서초구 서초동  1552번지 18호  1층,복어취급,100.42
낙원곱창 사당역점,"서울특별시 서초구 방배천로2길 12, 1층 (방배동)",서울특별시 서초구 방배동  446번지 2호  1층,한식,282.53
소담채,"서울특별시 서초구 원터6길 5, (원지동,지하1층, 1층, 2층)","서울특별시 서초구 원지동  419번지 1호  지하1층, 1층, 2층",한식,231.45
매일향,"서울특별시 서초구 동광로 67, 1층 (방배동)",서울특별시 서초구 방배동  795번지 24호  1층,중국식,202.28
순남시래기 방배점,"서울특별시 서초구 방배로 121, 1층 (방배동)",서울특별시 서초구 방배동  925번지 6호  1층,한식,126.17
CARNE BRASIL GRILL (까르니 브라질 그릴),"서울특별시 서초구 방배로 83-9, 5층 (방배동)",서울특별시 서초구 방배동  909번지 4호  5층,경양식,95.59
돼지띠식당 서초점,"서울특별시 서초구 효령로 428, (서초동)",서울특별시 서초구 서초동  1340번지 2호  (1층?),한식,138.65
해우담 서초본점,"서울특별시 서초구 강남대로 349, 지하1층 (서초동, 우남빌딩)",서울특별시 서초구 서초동  1329번지 4호  우남빌딩 지하1층,한식,487.14
디토,"서울특별시 서초구 명달로 94, (주)삼성출판사 사옥 1층 (서초동)",서울특별시 서초구 서초동  1516번지 2호  (주)삼성출판사 사옥,경양식,361
홍.낙.제,"서울특별시 서초구 서초중앙로26길 17, (서초동,1층)",서울특별시 서초구 서초동  1697번지 16호  1층,한식,199.55
주식회사 에프아이씨,"서울특별시 서초구 올림픽대로 683, 3층 (반포동, 새빛둥둥섬 제1섬 )",서울특별시 서초구 반포동  649번지  새빛둥둥섬 제1섬 3층,경양식,761.06
한우플러스,"서울특별시 서초구 서초대로46길 109, 2층 (서초동, 지산빌딩)",서울특별시 서초구 서초동  1576번지 9호  지산빌딩 2층,경양식,131.7
피노,"서울특별시 서초구 신흥말길 84, 1층 (내곡동)",서울특별시 서초구 내곡동  1번지 2299호  1층,한식,152.75
한촌설렁탕 사당역점,"서울특별시 서초구 방배천로 36, 삼남빌딩 1층 (방배동)",서울특별시 서초구 방배동  453번지 24호  삼남빌딩 1층,한식,176.5
(주)이춘복스시강남,"서울특별시 서초구 강남대로61길 13, 1층 2층 (서초동)",서울특별시 서초구 서초동  1317번지  1층 2층,일식,448.5
하우스(HOUSE),"서울특별시 서초구 효령로4길 7, (방배동)",서울특별시 서초구 방배동  477번지 10호  (1층?),경양식,58.59
동신참치양재직영점,"서울특별시 서초구 강남대로 213, 지하1층 (양재동)",서울특별시 서초구 양재동  24번지  스포타임 엘타워,일식,114.54
목우촌마을 청계산점,"서울특별시 서초구 원터길 20, 1층 (원지동)",서울특별시 서초구 원지동  375번지  1층,한식,97.95
자인뭉티기,"서울특별시 서초구 강남대로37길 24-7, 1층 (서초동)",서울특별시 서초구 서초동  1363번지 7호  1층,한식,148.5
행복밥상,"서울특별시 서초구 마방로10길 18-15, 극동빌딩 1층 2호 (양재동)",서울특별시 서초구 양재동  267번지 2호  1층2호 극동빌딩,한식,27.36
모랑 강남점,"서울특별시 서초구 강남대로 359, 212호 (서초동, 대우도씨에빛2)",서울특별시 서초구 서초동  1328번지 11호  대우도씨에빛2-212,한식,47.95
더하누,"서울특별시 서초구 서초대로74길 49, 101,102,109,111,112,113,114호 (서초동, 아루누보씨티2)","서울특별시 서초구 서초동  1330번지 4호  아루누보씨티2 101,102,109,111,112,113,114호",한식,321.97
청정횟집,"서울특별시 서초구 남부순환로350길 75, 2층 (양재동)",서울특별시 서초구 양재동  10번지 41호  2층,한식,82.6
강남역 파스타,"서울특별시 서초구 서초대로73길 24, (서초동)",서울특별시 서초구 서초동  1307번지 4호  ,경양식,477.02
전주가,"서울특별시 서초구 법원로1길 1, 서호빌딩 지하1층 103호 (서초동)",서울특별시 서초구 서초동  1717번지 4호  지하1층-103,한식,0
부안애서,"서울특별시 서초구 남부순환로347길 101, 1층 103호 (서초동)",서울특별시 서초구 서초동  1341번지 7호  1층 103호,한식,155
